Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,21.594225617814843,21.672560307152043,21.359223209928903,21.507186889648438,2876000,0.0,0.0
2020-01-03 00:00:00-05:00,21.11551567937874,21.333111675670615,21.037180987903607,21.18514633178711,3041800,0.0,0.0
2020-01-06 00:00:00-05:00,21.028481209410494,21.246077249789433,21.011073127749928,21.141632080078125,4141100,0.0,0.0
2020-01-07 00:00:00-05:00,21.23737392312125,21.23737392312125,20.94144316544437,21.054594039916992,1909500,0.0,0.0
2020-01-08 00:00:00-05:00,21.002365066884426,21.1677384907538,20.90662395632908,20.98495864868164,2143000,0.0,0.0
2020-01-09 00:00:00-05:00,21.089406843499127,21.219964129562644,20.932737436172523,21.211261749267578,2349400,0.0,0.0
2020-01-10 00:00:00-05:00,21.21126013713415,21.228666556527294,20.941439884967455,21.028478622436523,1714100,0.0,0.0
2020-01-13 00:00:00-05:00,21.141630205719167,21.42015284709099,21.019775305024577,21.35922622680664,1752900,0.0,0.0
2020-01-14 00:00:00-05:00,21.307002730994064,21.359226973170593,21.19385352653015,21.289594650268555,2006200,0.0,0.0
2020-01-15 00:00:00-05:00,21.298297074189442,21.428856009595997,21.19385191801519,21.3070011138916,1277300,0.0,0.0
2020-01-16 00:00:00-05:00,21.463669681084035,21.70737780297466,21.41144710500953,21.672561645507812,2136000,0.0,0.0
2020-01-17 00:00:00-05:00,21.75089606310758,21.759600102363613,21.315704061060305,21.498485565185547,3974000,0.0,0.0
2020-01-21 00:00:00-05:00,21.43756280673335,21.55071368605218,21.333117629036458,21.341821670532227,3497100,0.0,0.0
2020-01-22 00:00:00-05:00,21.402743258642037,21.49848603241346,21.211259371224973,21.254777908325195,2454000,0.0,0.0
2020-01-23 00:00:00-05:00,21.228669411226893,21.394042868643933,20.967554823832455,21.31570816040039,2025100,0.0,0.0
2020-01-24 00:00:00-05:00,21.385338927779316,21.48978575930145,21.246077592500516,21.39404296875,3254400,0.0,0.0
2020-01-27 00:00:00-05:00,21.071994047452282,21.48107555507214,20.69773035385144,21.298294067382812,8716500,0.0,0.0
2020-01-28 00:00:00-05:00,19.783830183256164,20.819587726499112,19.731607602121287,20.245134353637695,10405300,0.0,0.0
2020-01-29 00:00:00-05:00,20.332169120409787,20.4192061852424,19.76641823824423,19.809938430786133,4582800,0.0,0.0
2020-01-30 00:00:00-05:00,19.592346145654062,20.010130112141248,19.4966033641202,19.949203491210938,4234500,0.0,0.0
2020-01-31 00:00:00-05:00,19.801238417160086,20.053650604832683,19.47919556739262,19.966611862182617,6329500,0.0,0.0
2020-02-03 00:00:00-05:00,19.923091113690983,20.288652494681912,19.86216449354681,20.149391174316406,5588200,0.0,0.0
2020-02-04 00:00:00-05:00,20.462725536437404,20.514948105214902,20.158090841671854,20.314760208129883,4932000,0.0,0.0
2020-02-05 00:00:00-05:00,20.506249026980907,20.57587968890122,20.25383850006699,20.323469161987305,4900300,0.0,0.0
2020-02-06 00:00:00-05:00,20.34087750773593,20.393100089825644,20.11457743851256,20.123281478881836,4738500,0.0,0.0
2020-02-07 00:00:00-05:00,20.13198540466139,20.784773541338332,20.12328302374998,20.680328369140625,6273900,0.0,0.0
2020-02-10 00:00:00-05:00,20.601992787401116,21.176446190537693,20.567176624725683,21.045888900756836,4878300,0.0,0.0
2020-02-11 00:00:00-05:00,21.27218361208833,21.428852984357587,21.106810201345713,21.298294067382812,4263500,0.0,0.0
2020-02-12 00:00:00-05:00,21.40274436555938,21.733489580953723,21.19385238844834,21.26348304748535,3729700,0.0,0.0
2020-02-13 00:00:00-05:00,21.02848008739615,21.733490755771438,20.897922802160124,21.707380294799805,5018100,0.0,0.0
2020-02-14 00:00:00-05:00,21.68996772567198,21.716079841366074,21.063291890144157,21.098106384277344,6793400,0.0,0.0
2020-02-18 00:00:00-05:00,20.99366592396534,21.12422321130277,20.854402935995978,20.950145721435547,2813600,0.0,0.0
2020-02-19 00:00:00-05:00,21.002366573710788,21.19385212881116,20.77606817970718,20.889217376708984,3160400,0.0,0.0
2020-02-20 00:00:00-05:00,20.863105118095127,21.219962446422045,20.845698698759684,21.167739868164062,2926900,0.0,0.0
2020-02-21 00:00:00-05:00,21.115518983834207,21.315706933320808,20.984961697652768,21.011072158813477,2930000,0.0,0.0
2020-02-24 00:00:00-05:00,20.601995052264954,20.636809558641684,20.253841687866704,20.271249771118164,4400600,0.0,0.0
2020-02-25 00:00:00-05:00,20.340878633783284,20.36698909621061,19.496604932610786,19.714200973510742,3700000,0.0,0.0
2020-02-26 00:00:00-05:00,19.853458110627592,19.853458110627592,19.157151590970273,19.47919273376465,5739400,0.0,0.0
2020-02-27 00:00:00-05:00,19.165853933881593,19.68808460747214,18.748070059059376,18.92214584350586,5566000,0.0,0.0
2020-02-28 00:00:00-05:00,18.403858229020184,18.878228865221445,18.19302497344134,18.641042709350586,7056900,0.2,0.0
2020-03-02 00:00:00-05:00,18.658609639860725,19.229611959959914,18.333578297506815,19.220827102661133,5470800,0.0,0.0
2020-03-03 00:00:00-05:00,19.185688202812095,19.914814559649383,18.869440061110105,19.141765594482422,5379900,0.0,0.0
2020-03-04 00:00:00-05:00,19.326240283676913,19.844535043509623,19.036346746443357,19.82696533203125,3614300,0.0,0.0
2020-03-05 00:00:00-05:00,19.326240894155138,19.545857267952357,18.79037640591714,18.9660701751709,3698600,0.0,0.0
2020-03-06 00:00:00-05:00,18.377503693705123,18.851874330952242,18.316011358834242,18.781597137451172,3199100,0.0,0.0
2020-03-09 00:00:00-04:00,17.894349768445398,18.09639650805241,17.314560776746912,17.51660919189453,3926500,0.0,0.0
2020-03-10 00:00:00-04:00,17.911915345912377,18.781596200426954,17.674730876892312,18.7552433013916,6641200,0.0,0.0
2020-03-11 00:00:00-04:00,18.298440586707294,18.342363201785744,17.569314117838605,17.82406997680664,4769400,0.0,0.0
2020-03-12 00:00:00-04:00,16.787478867401834,17.27063429777056,15.6279044940847,16.866540908813477,5657500,0.0,0.0
2020-03-13 00:00:00-04:00,17.683508404788164,18.078818519311678,16.37459511247896,17.832847595214844,4838100,0.0,0.0
2020-03-16 00:00:00-04:00,14.749437888831965,17.41118752323169,13.352676645162195,16.242828369140625,7237100,0.0,0.0
2020-03-17 00:00:00-04:00,16.19890692812154,16.93681820237816,15.23259438559119,16.269184112548828,5958900,0.0,0.0
2020-03-18 00:00:00-04:00,14.898776448178062,16.207691726081045,14.73186918298902,16.128629684448242,6541100,0.0,0.0
2020-03-19 00:00:00-04:00,15.979288271787961,16.409736175357136,15.276514850735017,15.961718559265137,6661700,0.0,0.0
2020-03-20 00:00:00-04:00,16.06713683855264,16.383383319324494,15.390717915569748,15.496132850646973,3491700,0.0,0.0
2020-03-23 00:00:00-04:00,15.443423898481882,15.777240061522503,14.819714178537026,15.179884910583496,4383100,0.0,0.0
