Step,Selected_Feature,Recall,Precision,F1_Score
1,RSI,0.3418235511258767,0.3226690253684438,0.32888128078752027
2,CCI,0.35766824722545076,0.4975649805264334,0.36174922240021024
3,SMA,0.39442253604828303,0.5026429662319929,0.4013388622942247
4,A/D_Oscillator,0.40819825753082284,0.5282456989074892,0.4220393661009535
5,MACD,0.41437376552935634,0.5273619210041292,0.4195743946097502
6,MACD_Signal,0.43368685154414865,0.5601247411127492,0.436283679249469
7,year,0.4489180896942434,0.5376874885051053,0.45379009955589467
8,day_of_week,0.4538762900286407,0.48919217330725323,0.45538693134557945
9,Stochastic_D,0.43020614172748955,0.47737055983782983,0.43756382705364044
10,Momentum,0.4525576574608182,0.5382496480093658,0.46119048430469756
11,month,0.43808501895621194,0.5198460437452006,0.4377383256408729
12,Stochastic_K,0.4287199904998163,0.5981115104719844,0.43898086258247826
13,Williams_R,0.4287199904998163,0.5981115104719844,0.43898086258247826
14,WMA,0.42525490653217635,0.5234845587584737,0.4219922841094349
15,day,0.3965608192017581,0.4511942737082606,0.3902106488715197
